,Title,Genres,Ratings,Director
9381,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
9382,Mare of Easttown,"Crime, Drama, Mystery",8.5,
9383,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
9384,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
9385,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,
9386,The King's Man,"Action, Adventure, Thriller",6.3,Matthew Vaughn
9387,Nightmare Alley,"Crime, Drama, Thriller",7.0,Guillermo del Toro
9388,F9: The Fast Saga,"Action, Crime, Thriller",5.2,Justin Lin
9389,Invincible,"Animation, Action, Adventure",8.7,
9390,Last Night in Soho,"Drama, Horror, Mystery",7.1,Edgar Wright
9391,CODA,"Comedy, Drama, Music",8.0,Sian Heder
9392,The Guilty,"Crime, Drama, Thriller",6.3,Antoine Fuqua
9393,Shershaah,"Action, Biography, Drama",8.4,Vishnuvardhan
9394,House of Gucci,"Biography, Crime, Drama",6.6,Ridley Scott
9395,Dhindora,"Comedy, Drama",8.8,
9396,The French Dispatch,"Comedy, Drama, Romance",7.2,Wes Anderson
9397,Old,"Drama, Horror, Mystery",5.8,M. Night Shyamalan
9398,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.3,Jon Watts
9399,Dune,"Action, Adventure, Drama",8.0,Denis Villeneuve
9400,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Adam McKay
9401,Squid Game,"Action, Drama, Mystery",8.0,
9402,Zack Snyder's Justice League,"Action, Adventure, Fantasy",8.0,Zack Snyder
9403,No Time to Die,"Action, Adventure, Thriller",7.3,Cary Joji Fukunaga
9404,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",7.4,Destin Daniel Cretton
9405,Black Widow,"Action, Adventure, Sci-Fi",6.7,Cate Shortland
9406,Free Guy,"Action, Adventure, Comedy",7.1,Shawn Levy
9407,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
